,Tm,W,L,W-L_perc,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Year,T
5,Detroit Lions,9,7,.563,410,376,34,2.1,0.6,2.7,5.2,-2.5,2017,
6,Green Bay Packers,7,9,.438,320,384,-64,-4.0,2.1,-1.9,-0.3,-1.6,2017,
7,Chicago Bears,5,11,.313,264,320,-56,-3.5,2.2,-1.3,-4.6,3.3,2017,
8,New Orleans Saints*,11,5,.688,448,326,122,7.6,1.5,9.2,7.0,2.2,2017,
9,Carolina Panthers+,11,5,.688,363,327,36,2.3,2.1,4.3,1.7,2.7,2017,
10,Atlanta Falcons+,10,6,.625,353,315,38,2.4,1.9,4.3,1.1,3.2,2017,
11,Tampa Bay Buccaneers,5,11,.313,335,382,-47,-2.9,1.7,-1.3,0.4,-1.7,2017,
12,Los Angeles Rams*,11,5,.688,478,329,149,9.3,-0.2,9.2,8.2,1.0,2017,
13,Seattle Seahawks,9,7,.563,366,332,34,2.1,-0.2,1.9,0.7,1.2,2017,
14,Arizona Cardinals,8,8,.500,295,361,-66,-4.1,0.4,-3.7,-4.0,0.2,2017,
15,San Francisco 49ers,6,10,.375,331,383,-52,-3.3,0.4,-2.9,-0.8,-2.1,2017,
0,Dallas Cowboys*,10,6,.625,339,324,15,0.9,0.2,1.1,-1.9,2.9,2018,0
1,Philadelphia Eagles+,9,7,.563,367,348,19,1.2,0.5,1.7,0.0,1.8,2018,0
2,Washington Redskins,7,9,.438,281,359,-78,-4.9,-0.1,-4.9,-5.6,0.6,2018,0
3,New York Giants,5,11,.313,369,412,-43,-2.7,0.5,-2.2,0.8,-2.9,2018,0
4,Chicago Bears*,12,4,.750,421,283,138,8.6,-2.3,6.3,1.5,4.8,2018,0
5,Minnesota Vikings,8,7,.531,360,341,19,1.2,-0.6,0.6,-1.2,1.8,2018,1
6,Green Bay Packers,6,9,.406,376,400,-24,-1.5,-1.2,-2.7,0.0,-2.7,2018,1
7,Detroit Lions,6,10,.375,324,360,-36,-2.3,-0.8,-3.0,-3.3,0.3,2018,0
8,New Orleans Saints*,13,3,.813,504,353,151,9.4,0.6,10.1,7.9,2.2,2018,0
9,Atlanta Falcons,7,9,.438,414,423,-9,-0.6,0.4,-0.1,2.5,-2.6,2018,0
10,Carolina Panthers,7,9,.438,376,382,-6,-0.4,1.3,0.9,0.1,0.8,2018,0
11,Tampa Bay Buccaneers,5,11,.313,396,464,-68,-4.3,1.7,-2.6,2.0,-4.6,2018,0
12,Los Angeles Rams*,13,3,.813,527,384,143,8.9,-0.4,8.5,9.5,-1.1,2018,0
13,Seattle Seahawks+,10,6,.625,428,347,81,5.1,-0.6,4.5,3.0,1.5,2018,0
14,San Francisco 49ers,4,12,.250,342,435,-93,-5.8,0.3,-5.5,-2.5,-3.1,2018,0
15,Arizona Cardinals,3,13,.188,225,425,-200,-12.5,1.0,-11.5,-9.6,-1.9,2018,0
0,Philadelphia Eagles*,9,7,.563,385,354,31,1.9,-1.7,0.3,0.7,-0.4,2019,0
1,Dallas Cowboys,8,8,.500,434,321,113,7.1,-1.8,5.3,3.8,1.5,2019,0
2,New York Giants,4,12,.250,341,451,-110,-6.9,-1.0,-7.9,-1.8,-6.1,2019,0
3,Washington Redskins,3,13,.188,266,435,-169,-10.6,-0.2,-10.8,-6.3,-4.5,2019,0
4,Green Bay Packers*,13,3,.813,376,313,63,3.9,-0.7,3.2,0.6,2.6,2019,0
5,Minnesota Vikings+,10,6,.625,407,303,104,6.5,-1.1,5.4,2.5,2.9,2019,0
6,Chicago Bears,8,8,.500,280,298,-18,-1.1,0.2,-0.9,-5.4,4.5,2019,0
7,Detroit Lions,3,12,.219,341,423,-82,-5.1,-0.1,-5.2,-1.2,-4.0,2019,1
8,New Orleans Saints*,13,3,.813,458,341,117,7.3,0.0,7.4,5.0,2.3,2019,0
9,Atlanta Falcons,7,9,.438,381,399,-18,-1.1,1.1,-0.1,0.3,-0.4,2019,0
10,Tampa Bay Buccaneers,7,9,.438,458,449,9,0.6,-0.2,0.4,4.9,-4.5,2019,0
11,Carolina Panthers,5,11,.313,340,470,-130,-8.1,1.1,-7.0,-1.9,-5.1,2019,0
12,San Francisco 49ers*,13,3,.813,479,310,169,10.6,0.4,11.0,6.7,4.3,2019,0
13,Seattle Seahawks+,11,5,.688,405,398,7,0.4,2.3,2.7,2.9,-0.2,2019,0
14,Los Angeles Rams,9,7,.563,394,364,30,1.9,2.0,3.9,2.2,1.7,2019,0
15,Arizona Cardinals,5,10,.344,361,442,-81,-5.1,1.8,-3.2,-0.3,-2.9,2019,1
0,Washington Football Team*,7,9,.438,335,329,6,0.4,-1.2,-0.8,-4.1,3.2,2020,0
1,New York Giants,6,10,.375,280,357,-77,-4.8,0.4,-4.4,-6.7,2.3,2020,0
2,Dallas Cowboys,6,10,.375,395,473,-78,-4.9,-0.2,-5.1,1.0,-6.1,2020,0
3,Philadelphia Eagles,4,11,.281,334,418,-84,-5.3,0.8,-4.4,-2.8,-1.6,2020,1
4,Green Bay Packers*,13,3,.813,509,369,140,8.8,-1.1,7.7,5.9,1.8,2020,0
5,Chicago Bears+,8,8,.500,372,370,2,0.1,0.1,0.2,-2.2,2.4,2020,0
6,Minnesota Vikings,7,9,.438,430,475,-45,-2.8,0.4,-2.4,1.3,-3.8,2020,0
7,Detroit Lions,5,11,.313,377,519,-142,-8.9,1.2,-7.7,-1.0,-6.7,2020,0
8,New Orleans Saints*,12,4,.750,482,337,145,9.1,0.5,9.6,5.1,4.5,2020,0
9,Tampa Bay Buccaneers+,11,5,.688,492,355,137,8.6,0.8,9.4,6.5,2.8,2020,0
10,Carolina Panthers,5,11,.313,350,402,-52,-3.3,2.2,-1.1,-2.4,1.3,2020,0
11,Atlanta Falcons,4,12,.250,396,414,-18,-1.1,1.9,0.7,-0.1,0.8,2020,0
12,Seattle Seahawks*,12,4,.750,459,371,88,5.5,0.0,5.5,4.8,0.7,2020,0
13,Los Angeles Rams+,10,6,.625,372,296,76,4.8,0.7,5.4,-0.8,6.2,2020,0
